X,Y,sell_type,square,kind,total_price,images
37.625487,55.708389,Снять,100.0,Торговое помещение,150000.0,{"orig": "static/images/orig/9590517409.jpg"}
37.651991844177,55.709548712103,Покупка,40.0,Офисное помещение,6869520.0,{"orig": "static/images/orig/8930488440.jpg"}
37.540417,55.748158,Покупка,940.0,Помещение свободного назначения,650000000.0,{"orig": "static/images/orig/8070969923.jpg"}
37.5982,55.7536,Снять,350.0,Помещение общественного питания,1250000.0,{"orig": "static/images/orig/8409920212.jpg"}
37.638031,55.743637,Снять,1278.7,Офисное помещение,1500000.0,{"orig": "static/images/orig/5766758340.jpg"}
37.537425,55.749628,Снять,3000.0,Офисное помещение,14450000.0,{"orig": "static/images/orig/9038376450.jpg"}
37.589572,55.748736,Снять,306.0,Торговое помещение,892500.0,{"orig": "static/images/orig/9914287052.jpg"}
37.633688,55.716341,Снять,18.0,Офисное помещение,14400.0,{"orig": "static/images/orig/8018254369.jpg"}
37.539742,55.749157,Снять,5000.0,Офисное помещение,8750000.0,{"orig": "static/images/orig/10070915529.jpg"}
37.5411425,55.747467,Покупка,71.0,Торговое помещение,90243716.0,{"orig": "static/images/orig/5844162452.jpg"}
37.609227,55.720933,Снять,40.0,Торговое помещение,350000.0,{"orig": "static/images/orig/9997205764.jpg"}
37.654601,55.710124,Покупка,134.3,Офисное помещение,26309370.0,{"orig": "static/images/orig/9972920604.jpg"}
37.646229,55.721975,Покупка,276.0,Офисное помещение,66551328.0,{"orig": "static/images/orig/9859357579.jpg"}
37.638307110757395,55.7534789076178,Снять,20.0,Помещение свободного назначения,150000.0,{"orig": "static/images/orig/10097694751.jpg"}
37.590192,55.753109,Снять,61.4,Торговое помещение,350000.0,{"orig": "static/images/orig/8136374049.jpg"}
37.580005,55.709226,Снять,284.0,Торговое помещение,530000.0,{"orig": "static/images/orig/10159798651.jpg"}
37.588172,55.743958,Покупка,930.0,Торговое помещение,400000000.0,{"orig": "static/images/orig/5721168900.jpg"}
37.66150800000001,55.744665,Покупка,376.0,Помещение свободного назначения,95000000.0,{"orig": "static/images/orig/10141135715.jpg"}
37.640040910953005,55.733287465299,Покупка,123.3,Торговое помещение,86062089.0,{"orig": "static/images/orig/10164921272.jpg"}
