geometry,Rank,Kind
"POLYGON ((37.53878365617071 55.73992528584817, 37.53943195938459 55.74055741426155, 37.54072856581235 55.74055741426155, 37.54137686902624 55.73992528584817, 37.54072856581235 55.73929314719565, 37.53943195938459 55.73929314719565, 37.53878365617071 55.73992528584817))",67.496239036007,beauty
"POLYGON ((37.53878365617071 55.73866099830391, 37.53943195938459 55.73929314719565, 37.54072856581235 55.73929314719565, 37.54137686902624 55.73866099830391, 37.54072856581235 55.73802883917287, 37.53943195938459 55.73802883917287, 37.53878365617071 55.73866099830391))",65.42374466367814,beauty
"POLYGON ((37.53878365617071 55.73739666980244, 37.53943195938459 55.73802883917287, 37.54072856581235 55.73802883917287, 37.54137686902624 55.73739666980244, 37.54072856581235 55.73676449019251, 37.53943195938459 55.73676449019251, 37.53878365617071 55.73739666980244))",62.32259577843799,beauty
"POLYGON ((37.54072856581235 55.74434996972515, 37.54137686902624 55.74498202646713, 37.542673475454 55.74498202646713, 37.54332177866787 55.74434996972515, 37.542673475454 55.74371790274467, 37.54137686902624 55.74371790274467, 37.54072856581235 55.74434996972515))",68.70642219592669,beauty
"POLYGON ((37.54072856581235 55.74308582552559, 37.54137686902624 55.74371790274467, 37.542673475454 55.74371790274467, 37.54332177866787 55.74308582552559, 37.542673475454 55.74245373806783, 37.54137686902624 55.74245373806783, 37.54072856581235 55.74308582552559))",76.41930478552923,beauty
"POLYGON ((37.54072856581235 55.74055741426155, 37.54137686902624 55.7411895324359, 37.542673475454 55.7411895324359, 37.54332177866787 55.74055741426155, 37.542673475454 55.73992528584817, 37.54137686902624 55.73992528584817, 37.54072856581235 55.74055741426155))",67.24265233918828,beauty
"POLYGON ((37.54072856581235 55.73929314719565, 37.54137686902624 55.73992528584817, 37.542673475454 55.73992528584817, 37.54332177866787 55.73929314719565, 37.542673475454 55.73866099830391, 37.54137686902624 55.73866099830391, 37.54072856581235 55.73929314719565))",68.04729576831534,beauty
"POLYGON ((37.54072856581235 55.73802883917287, 37.54137686902624 55.73866099830391, 37.542673475454 55.73866099830391, 37.54332177866787 55.73802883917287, 37.542673475454 55.73739666980244, 37.54137686902624 55.73739666980244, 37.54072856581235 55.73802883917287))",64.13323616244573,beauty
"POLYGON ((37.542673475454 55.74498202646713, 37.54332177866787 55.74561407297069, 37.54461838509563 55.74561407297069, 37.54526668830951 55.74498202646713, 37.54461838509563 55.74434996972515, 37.54332177866787 55.74434996972515, 37.542673475454 55.74498202646713))",76.86193808430885,beauty
"POLYGON ((37.542673475454 55.74371790274467, 37.54332177866787 55.74434996972515, 37.54461838509563 55.74434996972515, 37.54526668830951 55.74371790274467, 37.54461838509563 55.74308582552559, 37.54332177866787 55.74308582552559, 37.542673475454 55.74371790274467))",79.75346450487366,beauty
"POLYGON ((37.542673475454 55.74245373806783, 37.54332177866787 55.74308582552559, 37.54461838509563 55.74308582552559, 37.54526668830951 55.74245373806783, 37.54461838509563 55.74182164037129, 37.54332177866787 55.74182164037129, 37.542673475454 55.74245373806783))",78.14551332623117,beauty
"POLYGON ((37.542673475454 55.7411895324359, 37.54332177866787 55.74182164037129, 37.54461838509563 55.74182164037129, 37.54526668830951 55.7411895324359, 37.54461838509563 55.74055741426155, 37.54332177866787 55.74055741426155, 37.542673475454 55.7411895324359))",74.89681500716355,beauty
"POLYGON ((37.542673475454 55.73992528584817, 37.54332177866787 55.74055741426155, 37.54461838509563 55.74055741426155, 37.54526668830951 55.73992528584817, 37.54461838509563 55.73929314719565, 37.54332177866787 55.73929314719565, 37.542673475454 55.73992528584817))",69.19898673912206,beauty
"POLYGON ((37.542673475454 55.73866099830391, 37.54332177866787 55.73929314719565, 37.54461838509563 55.73929314719565, 37.54526668830951 55.73866099830391, 37.54461838509563 55.73802883917287, 37.54332177866787 55.73802883917287, 37.542673475454 55.73866099830391))",68.39227068518753,beauty
"POLYGON ((37.542673475454 55.73739666980244, 37.54332177866787 55.73802883917287, 37.54461838509563 55.73802883917287, 37.54526668830951 55.73739666980244, 37.54461838509563 55.73676449019251, 37.54332177866787 55.73676449019251, 37.542673475454 55.73739666980244))",58.470097844674264,beauty
"POLYGON ((37.542673475454 55.73613230034302, 37.54332177866787 55.73676449019251, 37.54461838509563 55.73676449019251, 37.54526668830951 55.73613230034302, 37.54461838509563 55.73550010025386, 37.54332177866787 55.73550010025386, 37.542673475454 55.73613230034302))",51.543712748112036,beauty
"POLYGON ((37.542673475454 55.73486788992495, 37.54332177866787 55.73550010025386, 37.54461838509563 55.73550010025386, 37.54526668830951 55.73486788992495, 37.54461838509563 55.7342356693562, 37.54332177866787 55.7342356693562, 37.542673475454 55.73486788992495))",50.11754321844252,beauty
"POLYGON ((37.54461838509563 55.74687813526291, 37.54526668830951 55.74751015105175, 37.54656329473727 55.74751015105175, 37.54721159795115 55.74687813526291, 37.54656329473727 55.74624610923592, 37.54526668830951 55.74624610923592, 37.54461838509563 55.74687813526291))",66.6966962415291,beauty
"POLYGON ((37.54461838509563 55.74434996972515, 37.54526668830951 55.74498202646713, 37.54656329473727 55.74498202646713, 37.54721159795115 55.74434996972515, 37.54656329473727 55.74371790274467, 37.54526668830951 55.74371790274467, 37.54461838509563 55.74434996972515))",74.93504647818887,beauty
"POLYGON ((37.54461838509563 55.74308582552559, 37.54526668830951 55.74371790274467, 37.54656329473727 55.74371790274467, 37.54721159795115 55.74308582552559, 37.54656329473727 55.74245373806783, 37.54526668830951 55.74245373806783, 37.54461838509563 55.74308582552559))",75.88871663219372,beauty
"POLYGON ((37.54461838509563 55.74182164037129, 37.54526668830951 55.74245373806783, 37.54656329473727 55.74245373806783, 37.54721159795115 55.74182164037129, 37.54656329473727 55.7411895324359, 37.54526668830951 55.7411895324359, 37.54461838509563 55.74182164037129))",75.62953720970425,beauty
"POLYGON ((37.54461838509563 55.74055741426155, 37.54526668830951 55.7411895324359, 37.54656329473727 55.7411895324359, 37.54721159795115 55.74055741426155, 37.54656329473727 55.73992528584817, 37.54526668830951 55.73992528584817, 37.54461838509563 55.74055741426155))",73.60917410343819,beauty
"POLYGON ((37.54461838509563 55.73929314719565, 37.54526668830951 55.73992528584817, 37.54656329473727 55.73992528584817, 37.54721159795115 55.73929314719565, 37.54656329473727 55.73866099830391, 37.54526668830951 55.73866099830391, 37.54461838509563 55.73929314719565))",72.70203166388453,beauty
