geometry,cell_id,Rank,Kind
"POLYGON ((37.542673475454 55.74245373806783, 37.54332177866787 55.74308582552559, 37.54461838509563 55.74308582552559, 37.54526668830951 55.74245373806783, 37.54461838509563 55.74182164037129, 37.54332177866787 55.74182164037129, 37.542673475454 55.74245373806783))",262,10.769230769230768,supermarket
"POLYGON ((37.542673475454 55.7411895324359, 37.54332177866787 55.74182164037129, 37.54461838509563 55.74182164037129, 37.54526668830951 55.7411895324359, 37.54461838509563 55.74055741426155, 37.54332177866787 55.74055741426155, 37.542673475454 55.7411895324359))",263,6.153846153846153,supermarket
"POLYGON ((37.542673475454 55.73992528584817, 37.54332177866787 55.74055741426155, 37.54461838509563 55.74055741426155, 37.54526668830951 55.73992528584817, 37.54461838509563 55.73929314719565, 37.54332177866787 55.73929314719565, 37.542673475454 55.73992528584817))",264,3.0769230769230766,supermarket
"POLYGON ((37.542673475454 55.73866099830391, 37.54332177866787 55.73929314719565, 37.54461838509563 55.73929314719565, 37.54526668830951 55.73866099830391, 37.54461838509563 55.73802883917287, 37.54332177866787 55.73802883917287, 37.542673475454 55.73866099830391))",265,10.769230769230768,supermarket
"POLYGON ((37.542673475454 55.73739666980244, 37.54332177866787 55.73802883917287, 37.54461838509563 55.73802883917287, 37.54526668830951 55.73739666980244, 37.54461838509563 55.73676449019251, 37.54332177866787 55.73676449019251, 37.542673475454 55.73739666980244))",266,4.615384615384615,supermarket
"POLYGON ((37.542673475454 55.73613230034302, 37.54332177866787 55.73676449019251, 37.54461838509563 55.73676449019251, 37.54526668830951 55.73613230034302, 37.54461838509563 55.73550010025386, 37.54332177866787 55.73550010025386, 37.542673475454 55.73613230034302))",267,1.5384615384615383,supermarket
"POLYGON ((37.542673475454 55.73486788992495, 37.54332177866787 55.73550010025386, 37.54461838509563 55.73550010025386, 37.54526668830951 55.73486788992495, 37.54461838509563 55.7342356693562, 37.54332177866787 55.7342356693562, 37.542673475454 55.73486788992495))",268,1.5384615384615383,supermarket
"POLYGON ((37.54461838509563 55.74687813526291, 37.54526668830951 55.74751015105175, 37.54656329473727 55.74751015105175, 37.54721159795115 55.74687813526291, 37.54656329473727 55.74624610923592, 37.54526668830951 55.74624610923592, 37.54461838509563 55.74687813526291))",300,1.5384615384615383,supermarket
"POLYGON ((37.54461838509563 55.74434996972515, 37.54526668830951 55.74498202646713, 37.54656329473727 55.74498202646713, 37.54721159795115 55.74434996972515, 37.54656329473727 55.74371790274467, 37.54526668830951 55.74371790274467, 37.54461838509563 55.74434996972515))",302,4.615384615384615,supermarket
"POLYGON ((37.54461838509563 55.74308582552559, 37.54526668830951 55.74371790274467, 37.54656329473727 55.74371790274467, 37.54721159795115 55.74308582552559, 37.54656329473727 55.74245373806783, 37.54526668830951 55.74245373806783, 37.54461838509563 55.74308582552559))",303,7.6923076923076925,supermarket
